Table: 100xRMSE

|model   | 50_sparse| 100_sparse| 200_sparse| 50_medium| 100_medium| 200_medium| 50_dense| 100_dense| 200_dense|
|:-------|---------:|----------:|----------:|---------:|----------:|----------:|--------:|---------:|---------:|
|MP_LIT  |      5.63|       4.68|       4.03|      5.09|       4.49|       4.08|     3.18|      2.88|      2.60|
|SHM     |      5.51|       4.70|       4.04|      5.35|       4.56|       4.07|     3.50|      2.50|      2.01|
|DL      |      5.38|       3.27|       2.22|      6.02|       4.63|       3.57|     4.50|      3.77|      2.82|
|DL_a    |      5.83|       3.49|       2.37|      6.17|       4.69|       3.56|     5.07|      4.02|      2.94|
|DL*_a   |      5.29|       3.22|       2.19|      6.07|       4.58|       3.40|     4.79|      3.85|      2.79|
|HS      |      5.22|       3.31|       2.25|      5.75|       4.63|       3.55|     4.05|      3.52|      2.62|
|HS*     |      3.89|       2.52|       1.77|      5.26|       4.18|       3.30|     3.14|      2.63|      2.10|
|NG      |      5.25|       3.24|       2.19|      5.73|       4.62|       3.55|     4.16|      3.67|      2.78|
|NG_a    |      5.52|       3.45|       2.36|      5.74|       4.62|       3.54|     4.44|      3.82|      2.85|
|NG*     |      4.83|       3.04|       2.11|      5.56|       4.63|       3.49|     3.99|      3.51|      2.72|
|NG*_a   |      4.65|       2.94|       2.15|      5.47|       4.36|       3.30|     4.08|      3.44|      2.57|
|R2D2    |      5.31|       3.19|       2.19|      5.72|       4.67|       3.57|     4.09|      3.59|      2.73|
|R2D2_a  |      5.49|       3.39|       2.34|      5.73|       4.60|       3.54|     4.35|      3.80|      2.83|
|R2D2*   |      4.82|       2.98|       2.09|      5.57|       4.65|       3.49|     3.96|      3.48|      2.60|
|R2D2*_a |      4.56|       2.91|       2.10|      5.47|       4.36|       3.31|     4.05|      3.36|      2.50|
|SSVS    |      5.48|       3.67|       2.68|      5.96|       5.17|       4.29|     4.11|      3.65|      2.90|
|SSVS_p  |      5.93|       4.38|       2.60|      6.11|       5.51|       4.85|     4.18|      3.91|      3.42|
|SSVS*_p |      5.57|       3.56|       2.25|      6.15|       5.45|       4.69|     4.18|      3.81|      3.08|
