Table: DL_a

|  l=1|  l=2|  l=3|  l=4|  l=5|
|----:|----:|----:|----:|----:|
| 0.30|    -|    -|    -|    -|
| 0.78|    -|    -|    -|    -|
| 0.37| 0.48|    -|    -|    -|
| 0.82| 0.84|    -|    -|    -|
| 0.37| 0.53| 0.68|    -|    -|
| 0.82| 0.84| 0.85|    -|    -|
| 0.37| 0.56| 0.71| 0.75|    -|
| 0.82| 0.85| 0.85| 0.88|    -|
| 0.38| 0.56| 0.74| 0.76| 0.78|
| 0.82| 0.85| 0.85| 0.86| 0.84|
Table: DL*_a

|  l=1|  l=2|  l=3|  l=4|  l=5|
|----:|----:|----:|----:|----:|
| 0.26|    -|    -|    -|    -|
| 0.78|    -|    -|    -|    -|
| 0.33| 0.40|    -|    -|    -|
| 0.82| 0.84|    -|    -|    -|
| 0.33| 0.44| 0.64|    -|    -|
| 0.83| 0.84| 0.86|    -|    -|
| 0.32| 0.45| 0.65| 0.72|    -|
| 0.83| 0.85| 0.85| 0.89|    -|
| 0.33| 0.45| 0.70| 0.74| 0.76|
| 0.82| 0.85| 0.85| 0.87| 0.85|
Table: SHM

|  l=1|  l=2|  l=3|  l=4|  l=5|
|----:|----:|----:|----:|----:|
| 0.23|    -|    -|    -|    -|
| 0.60|    -|    -|    -|    -|
| 0.30| 0.19|    -|    -|    -|
| 0.61| 0.61|    -|    -|    -|
| 0.31| 0.22| 0.22|    -|    -|
| 0.61| 0.61| 0.61|    -|    -|
| 0.31| 0.21| 0.22| 0.25|    -|
| 0.61| 0.61| 0.61| 0.61|    -|
| 0.31| 0.22| 0.22| 0.25| 0.26|
| 0.61| 0.61| 0.61| 0.61| 0.61|
Table: HS

|  l=1|  l=2|  l=3|  l=4|  l=5|
|----:|----:|----:|----:|----:|
| 0.31|    -|    -|    -|    -|
| 0.75|    -|    -|    -|    -|
| 0.38| 0.54|    -|    -|    -|
| 0.83| 0.82|    -|    -|    -|
| 0.38| 0.65| 0.76|    -|    -|
| 0.85| 0.81| 0.86|    -|    -|
| 0.38| 0.77| 0.81| 0.77|    -|
| 0.86| 0.83| 0.84| 0.85|    -|
| 0.40| 0.77| 0.81| 0.76| 0.85|
| 0.87| 0.84| 0.84| 0.86| 0.81|
Table: HS*

|  l=1|  l=2|  l=3|  l=4|  l=5|
|----:|----:|----:|----:|----:|
| 0.25|    -|    -|    -|    -|
| 0.80|    -|    -|    -|    -|
| 0.32| 0.27|    -|    -|    -|
| 0.84| 0.89|    -|    -|    -|
| 0.32| 0.30| 0.37|    -|    -|
| 0.85| 0.91| 0.93|    -|    -|
| 0.32| 0.29| 0.40| 0.46|    -|
| 0.85| 0.91| 0.92| 0.88|    -|
| 0.32| 0.29| 0.41| 0.48| 0.58|
| 0.85| 0.89| 0.91| 0.87| 0.85|
Table: MP_LIT

|  l=1|  l=2|  l=3|  l=4|  l=5|
|----:|----:|----:|----:|----:|
| 0.24|    -|    -|    -|    -|
| 0.60|    -|    -|    -|    -|
| 0.29| 0.21|    -|    -|    -|
| 0.60| 0.61|    -|    -|    -|
| 0.29| 0.22| 0.22|    -|    -|
| 0.60| 0.61| 0.61|    -|    -|
| 0.29| 0.22| 0.23| 0.26|    -|
| 0.60| 0.61| 0.61| 0.61|    -|
| 0.29| 0.23| 0.23| 0.26| 0.25|
| 0.60| 0.61| 0.61| 0.61| 0.61|
Table: NG_a

|  l=1|  l=2|  l=3|  l=4|  l=5|
|----:|----:|----:|----:|----:|
| 0.29|    -|    -|    -|    -|
| 0.75|    -|    -|    -|    -|
| 0.37| 0.47|    -|    -|    -|
| 0.79| 0.78|    -|    -|    -|
| 0.37| 0.55| 0.66|    -|    -|
| 0.80| 0.77| 0.81|    -|    -|
| 0.37| 0.63| 0.68| 0.71|    -|
| 0.80| 0.76| 0.79| 0.79|    -|
| 0.38| 0.63| 0.71| 0.73| 0.75|
| 0.80| 0.76| 0.78| 0.78| 0.78|
Table: NG*_a

|  l=1|  l=2|  l=3|  l=4|  l=5|
|----:|----:|----:|----:|----:|
| 0.25|    -|    -|    -|    -|
| 0.77|    -|    -|    -|    -|
| 0.32| 0.31|    -|    -|    -|
| 0.80| 0.79|    -|    -|    -|
| 0.31| 0.36| 0.57|    -|    -|
| 0.80| 0.78| 0.82|    -|    -|
| 0.31| 0.37| 0.57| 0.68|    -|
| 0.80| 0.78| 0.81| 0.81|    -|
| 0.32| 0.37| 0.63| 0.69| 0.73|
| 0.80| 0.77| 0.80| 0.80| 0.80|
Table: R2D2_a

|  l=1|  l=2|  l=3|  l=4|  l=5|
|----:|----:|----:|----:|----:|
| 0.29|    -|    -|    -|    -|
| 0.76|    -|    -|    -|    -|
| 0.37| 0.48|    -|    -|    -|
| 0.80| 0.79|    -|    -|    -|
| 0.37| 0.56| 0.66|    -|    -|
| 0.81| 0.78| 0.82|    -|    -|
| 0.37| 0.63| 0.69| 0.72|    -|
| 0.82| 0.77| 0.80| 0.80|    -|
| 0.38| 0.64| 0.73| 0.74| 0.76|
| 0.82| 0.77| 0.79| 0.79| 0.79|
Table: R2D2*_a

|  l=1|  l=2|  l=3|  l=4|  l=5|
|----:|----:|----:|----:|----:|
| 0.25|    -|    -|    -|    -|
| 0.77|    -|    -|    -|    -|
| 0.32| 0.31|    -|    -|    -|
| 0.81| 0.80|    -|    -|    -|
| 0.32| 0.35| 0.55|    -|    -|
| 0.81| 0.78| 0.83|    -|    -|
| 0.32| 0.36| 0.55| 0.66|    -|
| 0.81| 0.79| 0.82| 0.82|    -|
| 0.32| 0.37| 0.62| 0.68| 0.72|
| 0.81| 0.78| 0.82| 0.81| 0.81|
Table: SSVS

|  l=1|  l=2|  l=3|  l=4|  l=5|
|----:|----:|----:|----:|----:|
| 0.33|    -|    -|    -|    -|
| 0.82|    -|    -|    -|    -|
| 0.40| 0.64|    -|    -|    -|
| 0.84| 0.83|    -|    -|    -|
| 0.38| 0.73| 0.60|    -|    -|
| 0.85| 0.81| 0.82|    -|    -|
| 0.36| 0.75| 0.42| 0.57|    -|
| 0.84| 0.74| 0.64| 0.87|    -|
| 0.38| 0.73| 0.47| 0.45| 0.67|
| 0.84| 0.70| 0.64| 0.81| 0.58|
Table: SSVS*_p

|  l=1|  l=2|  l=3|  l=4|  l=5|
|----:|----:|----:|----:|----:|
| 0.32|    -|    -|    -|    -|
| 0.81|    -|    -|    -|    -|
| 0.36| 0.62|    -|    -|    -|
| 0.87| 0.89|    -|    -|    -|
| 0.34| 0.72| 0.55|    -|    -|
| 0.84| 0.58| 0.73|    -|    -|
| 0.34| 0.70| 0.52| 0.41|    -|
| 0.85| 0.60| 0.70| 0.41|    -|
| 0.36| 0.70| 0.41| 0.37| 0.43|
| 0.85| 0.68| 0.68| 0.46| 0.31|
