Table: Sum of one and four-steps-ahead log predictive likelihoods relative to MP LIT(4).

|model   | p=1| p=2| p=3| p=4|  p=5| p=1| p=2| p=3| p=4| p=5|
|:-------|---:|---:|---:|---:|----:|---:|---:|---:|---:|---:|
|MP_LIT  | -67| -17|  -8|   0|  -13| -64| -10|  -1|   0|  -1|
|SHM     | -55|   0|  10|   7|    4| -61| -10|  -4|   2|   5|
|HS      | -58| -27| -23| -36|  -43| -39|  17|  14|   4|  10|
|DL      | -44|  10|  11|  -6|  -23| -25|  45|  31|  29|  22|
|NG      | -46|  11|   9|  -2|  -14| -30|  40|  41|  30|  27|
|R2D2    | -40|   8|   9|   3|  -13| -30|  44|  35|  30|  25|
|DL_a    | -41|  16|   6| -12|  -53| -21|  39|  36|  12| -13|
|NG_a    | -44|   9|  -2| -28|  -53| -27|  42|  40|  16|   8|
|R2D2_a  | -45|   8|  -6| -20|  -43| -25|  42|  37|  16|  -1|
|NG*     | -47|  17|  16|   4|  -14| -30|  40|  43|  33|  33|
|R2D2*   | -39|  13|  18|   6|  -11| -27|  37|  39|  41|  22|
|HS*     | -33|  24|  41|  50|   38| -39|  21|  43|  45|  53|
|DL*_a   | -30|  32|  32|  13|  -29| -20|  52|  43|  21|   1|
|NG*_a   | -28|  33|  34|  19|  -16| -27|  52|  56|  36|  20|
|R2D2*_a | -28|  33|  40|  17|  -10| -23|  50|  53|  36|  21|
|SSVS    | -63| -29| -29| -49|  -90| -45|  -3| -11| -32| -42|
|SSVS_p  | -87| -61| -62| -88| -106| -53| -23| -14| -36| -38|
|SSVS*_p | -84| -39| -36| -63|  -84| -69| -35| -15| -39| -43|
